index,pindex,N(0),N(1),N(2),Tex(0),Tex(1),Tex(2)
0,0,0.6788034076363227,0.6861605959282566,0.2615522325974226,0.0,0.0,0.0
1,1,0.6507782233685382,0.34308029796412837,-0.6773356724240459,0.16666666666666666,0.0,0.0
2,2,-0.028025184267784442,-0.34308029796412814,-0.9388879050214685,0.3333333333333333,0.0,0.0
3,3,-0.6788034076363227,-0.6861605959282566,-0.2615522325974227,0.5,0.0,0.0
4,4,-0.6507782233685384,-0.3430802979641286,0.6773356724240457,0.6666666666666666,0.0,0.0
5,5,0.028025184267783998,0.34308029796412787,0.9388879050214687,0.8333333333333334,0.0,0.0
6,6,0.5498488191301693,0.6852349571911016,0.47761839322252614,0.0,0.004016064257028112,0.0
7,7,0.8428457629403949,0.34261747859555086,-0.41499913645000663,0.16666666666666666,0.004016064257028112,0.0
8,8,0.29299694381022573,-0.34261747859555064,-0.8926175296725328,0.3333333333333333,0.004016064257028112,0.0
9,9,-0.5498488191301691,-0.6852349571911016,-0.47761839322252625,0.5,0.004016064257028112,0.0
10,10,-0.8428457629403949,-0.3426174785955511,0.4149991364500063,0.6666666666666666,0.004016064257028112,0.0
11,11,-0.29299694381022623,0.34261747859555036,0.8926175296725328,0.8333333333333334,0.004016064257028112,0.0
12,12,0.1602048563723845,0.7392202634499534,0.6541313370414882,0.0,0.008032128514056224,0.0
13,13,0.9212677738580928,0.36961013172497675,0.12105386973079119,0.16666666666666666,0.008032128514056224,0.0
14,14,0.7610629174857084,-0.36961013172497653,-0.5330774673106969,0.3333333333333333,0.008032128514056224,0.0
15,15,-0.16020485637238438,-0.7392202634499534,-0.6541313370414882,0.5,0.008032128514056224,0.0
16,16,-0.9212677738580927,-0.36961013172497703,-0.12105386973079144,0.6666666666666666,0.008032128514056224,0.0
17,17,-0.7610629174857088,0.3696101317249762,0.5330774673106967,0.8333333333333334,0.008032128514056224,0.0
18,18,-0.157763550081719,0.7919195993224967,0.5898932195529201,0.0,0.012048192771084338,0.0
19,19,0.7577400471635676,0.39595979966124845,0.5186963061144535,0.16666666666666666,0.012048192771084338,0.0
20,20,0.9155035972452866,-0.39595979966124817,-0.07119691343846649,0.3333333333333333,0.012048192771084338,0.0
21,21,0.1577635500817191,-0.7919195993224967,-0.5898932195529201,0.5,0.012048192771084338,0.0
22,22,-0.7577400471635674,-0.39595979966124867,-0.5186963061144537,0.6666666666666666,0.012048192771084338,0.0
23,23,-0.9155035972452868,0.3959597996612478,0.07119691343846613,0.8333333333333334,0.012048192771084338,0.0
24,24,-0.3458149579346487,0.8331987026169804,0.4314996371099724,0.0,0.01606425702811245,0.0
25,25,0.5028744649505716,0.4165993513084903,0.7573389287432819,0.16666666666666666,0.01606425702811245,0.0
26,26,0.8486894228852204,-0.41659935130849,0.3258392916333095,0.3333333333333333,0.01606425702811245,0.0
27,27,0.34581495793464884,-0.8331987026169804,-0.43149963710997236,0.5,0.01606425702811245,0.0
28,28,-0.5028744649505714,-0.4165993513084906,-0.7573389287432819,0.6666666666666666,0.01606425702811245,0.0
29,29,-0.8486894228852205,0.41659935130848963,-0.3258392916333099,0.8333333333333334,0.01606425702811245,0.0
30,30,-0.4312278395254946,0.8636672137756203,0.26100094687037273,0.0,0.020080321285140562,0.0
31,31,0.23280959342369917,0.43183360688781025,0.8713893671443069,0.16666666666666666,0.020080321285140562,0.0
32,32,0.6640374329491938,-0.43183360688781,0.6103884202739344,0.3333333333333333,0.020080321285140562,0.0
33,33,0.43122783952549465,-0.8636672137756203,-0.2610009468703726,0.5,0.020080321285140562,0.0
34,34,-0.23280959342369897,-0.43183360688781053,-0.8713893671443069,0.6666666666666666,0.020080321285140562,0.0
35,35,-0.6640374329491938,0.4318336068878096,-0.6103884202739347,0.8333333333333334,0.020080321285140562,0.0
36,36,-0.45122038958730376,0.885736353788002,0.10895536516857432,0.0,0.024096385542168676,0.0
37,37,-0.022334840710642734,0.4428681768940011,0.8963085031310449,0.16666666666666666,0.024096385542168676,0.0
38,38,0.42888554887666097,-0.44286817689400076,0.7873531379624708,0.3333333333333333,0.024096385542168676,0.0
39,39,0.4512203895873038,-0.885736353788002,-0.1089553651685742,0.5,0.024096385542168676,0.0
40,40,0.0223348407106429,-0.4428681768940014,-0.8963085031310448,0.6666666666666666,0.024096385542168676,0.0
41,41,-0.42888554887666086,0.4428681768940004,-0.7873531379624711,0.8333333333333334,0.024096385542168676,0.0
42,42,-0.4309144442883974,0.9022471201333848,-0.016213448573175526,0.0,0.028112449799196786,0.0
43,43,-0.24801897547418375,0.4511235600666925,0.8573063171104536,0.16666666666666666,0.028112449799196786,0.0
44,44,0.18289546881421365,-0.4511235600666922,0.8735197656836292,0.3333333333333333,0.028112449799196786,0.0
45,45,0.4309144442883974,-0.9022471201333848,0.016213448573175648,0.5,0.028112449799196786,0.0
46,46,0.2480189754741839,-0.4511235600666928,-0.8573063171104535,0.6666666666666666,0.028112449799196786,0.0
47,47,-0.18289546881421342,0.4511235600666918,-0.8735197656836295,0.8333333333333334,0.028112449799196786,0.0
48,48,-0.38718456248258315,0.9148955366380183,-0.11425529140920909,0.0,0.0321285140562249,0.0
49,49,-0.4387007076479574,0.45744776831900924,0.7734877040840012,0.16666666666666666,0.0321285140562249,0.0
50,50,-0.05151614516537428,-0.4574477683190089,0.8877429954932105,0.3333333333333333,0.0321285140562249,0.0
51,51,0.3871845624825831,-0.9148955366380183,0.1142552914092092,0.5,0.0321285140562249,0.0
52,52,0.43870070764795743,-0.4574477683190095,-0.7734877040840011,0.6666666666666666,0.0321285140562249,0.0
53,53,0.05151614516537453,0.4574477683190085,-0.8877429954932108,0.8333333333333334,0.0321285140562249,0.0
54,54,-0.33086450697298625,0.9247809334429328,-0.18790663417224193,0.0,0.03614457831325301,0.0
55,55,-0.593111445874889,0.4623904667214665,0.6591008034112106,0.16666666666666666,0.03614457831325301,0.0
56,56,-0.26224693890190276,-0.46239046672146616,0.8470074375834526,0.3333333333333333,0.03614457831325301,0.0
57,57,0.3308645069729862,-0.9247809334429328,0.18790663417224204,0.5,0.03614457831325301,0.0
58,58,0.593111445874889,-0.4623904667214668,-0.6591008034112105,0.6666666666666666,0.03614457831325301,0.0
59,59,0.2622469389019031,0.4623904667214658,-0.8470074375834529,0.8333333333333334,0.03614457831325301,0.0
60,60,-0.2688065342501239,0.9326689401707298,-0.24056536572259227,0.0,0.040160642570281124,0.0
61,61,-0.7119368922987541,0.466334470085365,0.525050496042232,0.16666666666666666,0.040160642570281124,0.0
62,62,-0.4431303580486303,-0.46633447008536466,0.7656158617648243,0.3333333333333333,0.040160642570281124,0.0
