index,P(0),P(1),P(2)
0,-0.7219928941648781,3.1149745838883587,-1.0
1,-0.7050946912818752,3.1062226648134565,-0.9043291419087276
2,-0.6569726808392129,3.08129930793156,-0.8232233047033631
3,-0.5849530026996757,3.043998868397145,-0.7690301168721783
4,-0.5,3.0,-0.75
5,-0.41504699730032435,2.956001131602855,-0.7690301168721783
6,-0.3430273191607871,2.91870069206844,-0.8232233047033631
7,-0.2949053087181248,2.8937773351865435,-0.9043291419087275
8,-0.2780071058351219,2.8850254161116413,-1.0
9,-0.2949053087181248,2.8937773351865435,-1.0956708580912724
10,-0.3430273191607871,2.91870069206844,-1.176776695296637
11,-0.4150469973003242,2.956001131602855,-1.2309698831278215
12,-0.49999999999999994,3.0,-1.25
13,-0.5849530026996758,3.043998868397145,-1.2309698831278217
14,-0.6569726808392129,3.08129930793156,-1.176776695296637
15,-0.7050946912818751,3.1062226648134565,-1.0956708580912726
16,-0.744461035412612,3.0715802363771365,-1.0
17,-0.7276234483231232,3.0627122597661702,-0.9043291419087276
18,-0.6796740570559245,3.0374583989838824,-0.8232233047033631
19,-0.6079127217691327,2.9996633254075586,-0.7690301168721783
20,-0.5232644552420375,2.955080996375999,-0.75
21,-0.43861618871494223,2.9104986673444397,-0.7690301168721783
22,-0.36685485342815044,2.872703593768116,-0.8232233047033631
23,-0.3189054621609517,2.847449732985828,-0.9043291419087275
24,-0.30206787507146293,2.838581756374862,-1.0
25,-0.3189054621609517,2.847449732985828,-1.0956708580912724
26,-0.3668548534281504,2.872703593768116,-1.176776695296637
27,-0.4386161887149421,2.9104986673444393,-1.2309698831278215
28,-0.5232644552420375,2.955080996375999,-1.25
29,-0.6079127217691327,2.9996633254075586,-1.2309698831278217
30,-0.6796740570559244,3.0374583989838824,-1.176776695296637
31,-0.7276234483231232,3.0627122597661702,-1.0956708580912726
32,-0.7672129943070656,3.0291033498357596,-1.0
33,-0.7504613349234676,3.0200741053455116,-0.9043291419087276
34,-0.7027566450596558,2.994360992498102,-0.8232233047033631
35,-0.6313615313033051,2.9558785996346013,-0.7690301168721783
36,-0.5471452525255021,2.910485522224717,-0.75
37,-0.46292897374769904,2.8650924448148323,-0.7690301168721783
38,-0.3915338599913484,2.8266100519513317,-0.8232233047033631
39,-0.34382917012753655,2.800896939103922,-0.9043291419087275
40,-0.3270775107439385,2.791867694613674,-1.0
41,-0.34382917012753655,2.800896939103922,-1.0956708580912724
42,-0.39153385999134827,2.8266100519513317,-1.176776695296637
43,-0.4629289737476989,2.8650924448148323,-1.2309698831278215
44,-0.5471452525255021,2.910485522224717,-1.25
45,-0.6313615313033052,2.9558785996346013,-1.2309698831278217
46,-0.7027566450596557,2.994360992498102,-1.176776695296637
47,-0.7504613349234676,3.020074105345511,-1.0956708580912726
48,-0.790868254275797,2.9855026738609114,-1.0
49,-0.7741522204399539,2.9764076443959944,-0.9043291419087276
50,-0.7265489835527078,2.9505071917906283,-0.8232233047033631
51,-0.6553057049057248,2.9117444251657933,-0.7690301168721783
52,-0.5712685278510791,2.866020624354766,-0.75
53,-0.4872313507964333,2.8202968235437385,-0.7690301168721783
54,-0.4159880721494503,2.7815340569189035,-0.8232233047033631
55,-0.3683848352622042,2.7556336043135374,-0.9043291419087275
56,-0.35166880142636114,2.7465385748486204,-1.0
57,-0.3683848352622042,2.7556336043135374,-1.0956708580912724
58,-0.4159880721494503,2.7815340569189035,-1.176776695296637
59,-0.4872313507964332,2.8202968235437385,-1.2309698831278215
60,-0.5712685278510791,2.866020624354766,-1.25
61,-0.6553057049057249,2.9117444251657933,-1.2309698831278217
62,-0.7265489835527077,2.9505071917906283,-1.176776695296637
63,-0.7741522204399539,2.976407644395994,-1.0956708580912726
64,-0.8149031720916258,2.9414554497994514,-1.0
65,-0.7982020449989949,2.932333076094951,-0.9043291419087275
66,-0.7506412589248616,2.906354753683437,-0.823223304703363
67,-0.679461512409413,2.867475446657982,-0.7690301168721783
68,-0.5954992766136173,2.821614177071417,-0.75
69,-0.5115370408178217,2.775752907484852,-0.7690301168721783
70,-0.44035729430237314,2.736873600459397,-0.823223304703363
71,-0.39279650822823975,2.7108952780478828,-0.9043291419087275
72,-0.3760953811356089,2.7017729043433825,-1.0
73,-0.3927965082282397,2.7108952780478828,-1.0956708580912724
74,-0.4403572943023731,2.736873600459397,-1.176776695296637
75,-0.5115370408178216,2.775752907484852,-1.2309698831278217
76,-0.5954992766136173,2.821614177071417,-1.25
77,-0.679461512409413,2.867475446657982,-1.2309698831278217
78,-0.7506412589248616,2.9063547536834364,-1.176776695296637
79,-0.7982020449989949,2.932333076094951,-1.0956708580912726
80,-0.8391284189085306,2.897149235307172,-1.0
81,-0.8224305991460988,2.888020809191455,-0.9043291419087276
82,-0.7748792315515205,2.862025250971033,-0.8232233047033631
83,-0.7037135807868494,2.823120148734643,-0.7690301168721783
84,-0.6197679720627763,2.7772284516221455,-0.75
85,-0.5358223633387033,2.731336754509648,-0.7690301168721783
86,-0.46465671257403224,2.692431652273258,-0.8232233047033631
