index,P(0),P(1),P(2)
0,-3.013945592130277,2.199513208736003,0.0
1,-3.0128840471379137,2.1843261700168455,-0.07653668647301796
2,-3.0098610227629807,2.141077142833515,-0.14142135623730953
3,-3.005336747062778,2.0763503995212664,-0.18477590650225736
4,-3.0,2.0,-0.2
5,-2.994663252937222,1.9236496004787338,-0.18477590650225736
6,-2.9901389772370193,1.858922857166485,-0.14142135623730953
7,-2.9871159528620863,1.8156738299831547,-0.07653668647301798
8,-2.986054407869723,1.8004867912639968,-2.4492935982947065e-17
9,-2.9871159528620863,1.8156738299831545,0.07653668647301794
10,-2.9901389772370193,1.858922857166485,0.1414213562373095
11,-2.994663252937222,1.9236496004787336,0.1847759065022573
12,-3.0,2.0,0.2
13,-3.005336747062778,2.0763503995212664,0.18477590650225734
14,-3.0098610227629807,2.141077142833515,0.14142135623730953
15,-3.0128840471379137,2.1843261700168455,0.07653668647301809
16,-2.9644946205482987,2.2029688459967907,0.0
17,-2.963387798238979,2.187785039912557,-0.07653668647301796
18,-2.9602358349742453,2.144545218494637,-0.14142135623730953
19,-2.955518588588535,2.0798322525839503,-0.18477590650225736
20,-2.9499542170821274,2.003498104615903,-0.2
21,-2.94438984557572,1.9271639566478558,-0.18477590650225736
22,-2.9396725991900094,1.8624509907371694,-0.14142135623730953
23,-2.936520635925276,1.8192111693192488,-0.07653668647301798
24,-2.935413813615956,1.8040273632350154,-2.4492935982947065e-17
25,-2.936520635925276,1.8192111693192488,0.07653668647301794
26,-2.9396725991900094,1.8624509907371694,0.1414213562373095
27,-2.94438984557572,1.9271639566478558,0.1847759065022573
28,-2.9499542170821274,2.003498104615903,0.2
29,-2.955518588588535,2.0798322525839503,0.18477590650225734
30,-2.9602358349742453,2.1445452184946365,0.14142135623730953
31,-2.963387798238979,2.187785039912557,0.07653668647301809
32,-2.915593950259177,2.2066802535764687,0.0
33,-2.914401615823235,2.191502923066103,-0.07653668647301796
34,-2.9110061346247424,2.1482815425223656,-0.14142135623730953
35,-2.905924437896056,2.08359617533025,-0.18477590650225736
36,-2.8999301678984226,2.007294582270442,-0.2
37,-2.893935897900789,1.9309929892106341,-0.18477590650225736
38,-2.888854201172103,1.8663076220185184,-0.14142135623730953
39,-2.8854587199736104,1.823086241474781,-0.07653668647301798
40,-2.8842663855376682,1.8079089109644153,-2.4492935982947065e-17
41,-2.8854587199736104,1.823086241474781,0.07653668647301794
42,-2.888854201172103,1.8663076220185184,0.1414213562373095
43,-2.893935897900789,1.9309929892106341,0.1847759065022573
44,-2.8999301678984226,2.007294582270442,0.2
45,-2.905924437896056,2.08359617533025,0.18477590650225734
46,-2.9110061346247424,2.1482815425223656,0.14142135623730953
47,-2.914401615823235,2.191502923066103,0.07653668647301809
48,-2.866581226093835,2.2106616502267284,0.0
49,-2.8653134939180847,2.1954904314899695,-0.07653668647301796
50,-2.861703298122572,2.1522864558049246,-0.14142135623730953
51,-2.856300258290657,2.0876271368246266,-0.18477590650225736
52,-2.8499269382580703,2.01135626972564,-0.2
53,-2.8435536182254837,1.9350854026266535,-0.18477590650225736
54,-2.8381505783935688,1.8704260836463558,-0.14142135623730953
55,-2.834540382598056,1.827222107961311,-0.07653668647301798
56,-2.833272650422306,1.8120508892245522,-2.4492935982947065e-17
57,-2.834540382598056,1.827222107961311,0.07653668647301794
58,-2.8381505783935688,1.8704260836463558,0.1414213562373095
59,-2.8435536182254837,1.9350854026266535,0.1847759065022573
60,-2.8499269382580703,2.01135626972564,0.2
61,-2.856300258290657,2.0876271368246266,0.18477590650225734
62,-2.861703298122572,2.1522864558049246,0.14142135623730953
63,-2.8653134939180847,2.1954904314899695,0.07653668647301809
64,-2.817453819480433,2.2148816292097053,0.0
65,-2.8161208921382634,2.1997159993998854,-0.07653668647301796
66,-2.812325036216583,2.156527939632193,-0.14142135623730953
67,-2.8066441363699486,2.0918924405055237,-0.18477590650225736
68,-2.799943058102525,2.015649670839654,-0.2
