index,pindex,N(0),N(1),N(2),Tex(0),Tex(1),Tex(2)
0,0,0.0,1.0,0.0,0.0,0.0,0.0
1,1,0.0,0.9238795325112867,-0.3826834323650898,0.0625,0.0,0.0
2,2,0.0,0.7071067811865476,-0.7071067811865476,0.125,0.0,0.0
3,3,0.0,0.38268343236508984,-0.9238795325112867,0.1875,0.0,0.0
4,4,0.0,6.123233995736766e-17,-1.0,0.25,0.0,0.0
5,5,0.0,-0.3826834323650897,-0.9238795325112867,0.3125,0.0,0.0
6,6,0.0,-0.7071067811865475,-0.7071067811865476,0.375,0.0,0.0
7,7,0.0,-0.9238795325112867,-0.3826834323650899,0.4375,0.0,0.0
8,8,0.0,-1.0,-1.2246467991473532e-16,0.5,0.0,0.0
9,9,-0.0,-0.9238795325112868,0.38268343236508967,0.5625,0.0,0.0
10,10,-0.0,-0.7071067811865477,0.7071067811865475,0.625,0.0,0.0
11,11,-0.0,-0.38268343236509034,0.9238795325112865,0.6875,0.0,0.0
12,12,-0.0,-1.8369701987210297e-16,1.0,0.75,0.0,0.0
13,13,0.0,0.38268343236509,0.9238795325112866,0.8125,0.0,0.0
14,14,0.0,0.7071067811865474,0.7071067811865477,0.875,0.0,0.0
15,15,0.0,0.9238795325112865,0.3826834323650904,0.9375,0.0,0.0
16,16,0.0,1.0,0.0,0.0,0.07142857142857142,0.0
17,17,0.0,0.9238795325112867,-0.3826834323650898,0.0625,0.07142857142857142,0.0
18,18,0.0,0.7071067811865476,-0.7071067811865476,0.125,0.07142857142857142,0.0
19,19,0.0,0.38268343236508984,-0.9238795325112867,0.1875,0.07142857142857142,0.0
20,20,0.0,6.123233995736766e-17,-1.0,0.25,0.07142857142857142,0.0
21,21,0.0,-0.3826834323650897,-0.9238795325112867,0.3125,0.07142857142857142,0.0
22,22,0.0,-0.7071067811865475,-0.7071067811865476,0.375,0.07142857142857142,0.0
23,23,0.0,-0.9238795325112867,-0.3826834323650899,0.4375,0.07142857142857142,0.0
24,24,0.0,-1.0,-1.2246467991473532e-16,0.5,0.07142857142857142,0.0
25,25,-0.0,-0.9238795325112868,0.38268343236508967,0.5625,0.07142857142857142,0.0
26,26,-0.0,-0.7071067811865477,0.7071067811865475,0.625,0.07142857142857142,0.0
27,27,-0.0,-0.38268343236509034,0.9238795325112865,0.6875,0.07142857142857142,0.0
28,28,-0.0,-1.8369701987210297e-16,1.0,0.75,0.07142857142857142,0.0
29,29,0.0,0.38268343236509,0.9238795325112866,0.8125,0.07142857142857142,0.0
30,30,0.0,0.7071067811865474,0.7071067811865477,0.875,0.07142857142857142,0.0
31,31,0.0,0.9238795325112865,0.3826834323650904,0.9375,0.07142857142857142,0.0
32,32,0.0,1.0,0.0,0.0,0.14285714285714285,0.0
33,33,0.0,0.9238795325112867,-0.3826834323650898,0.0625,0.14285714285714285,0.0
34,34,0.0,0.7071067811865476,-0.7071067811865476,0.125,0.14285714285714285,0.0
35,35,0.0,0.38268343236508984,-0.9238795325112867,0.1875,0.14285714285714285,0.0
36,36,0.0,6.123233995736766e-17,-1.0,0.25,0.14285714285714285,0.0
37,37,0.0,-0.3826834323650897,-0.9238795325112867,0.3125,0.14285714285714285,0.0
