index,pindex,N(0),N(1),N(2),Tex(0),Tex(1),Tex(2)
0,0,0.0,1.0,0.0,0.0,0.0,0.0
1,1,-0.03046607559660847,0.5000000000000001,-0.8654893518915999,0.16666666666666666,0.0,0.0
2,2,-0.030466075596608473,-0.4999999999999998,-0.8654893518916,0.3333333333333333,0.0,0.0
3,3,-4.308208719851212e-18,-1.0,-1.2238887679950649e-16,0.5,0.0,0.0
4,4,0.030466075596608466,-0.5000000000000004,0.8654893518915998,0.6666666666666666,0.0,0.0
5,5,0.030466075596608487,0.49999999999999933,0.8654893518916004,0.8333333333333334,0.0,0.0
6,6,0.0,1.0,0.0,0.0,0.034482758620689655,0.0
7,7,-0.044340904825774734,0.5000000000000001,-0.8648895213605212,0.16666666666666666,0.034482758620689655,0.0
8,8,-0.04434090482577474,-0.4999999999999998,-0.8648895213605213,0.3333333333333333,0.034482758620689655,0.0
9,9,-6.270248762783256e-18,-1.0,-1.2230405474501404e-16,0.5,0.034482758620689655,0.0
10,10,0.04434090482577473,-0.5000000000000004,0.8648895213605211,0.6666666666666666,0.034482758620689655,0.0
11,11,0.044340904825774755,0.49999999999999933,0.8648895213605217,0.8333333333333334,0.034482758620689655,0.0
12,12,0.0,1.0,0.0,0.0,0.06896551724137931,0.0
13,13,-0.06303115733120426,0.5000000000000001,-0.8637285876972517,0.16666666666666666,0.06896551724137931,0.0
14,14,-0.06303115733120428,-0.4999999999999998,-0.8637285876972518,0.3333333333333333,0.06896551724137931,0.0
15,15,-8.913237964486551e-18,-1.0,-1.2213988707873858e-16,0.5,0.06896551724137931,0.0
16,16,0.06303115733120426,-0.5000000000000004,0.8637285876972516,0.6666666666666666,0.06896551724137931,0.0
17,17,0.06303115733120429,0.49999999999999933,0.8637285876972521,0.8333333333333334,0.06896551724137931,0.0
18,18,0.0,1.0,0.0,0.0,0.10344827586206896,0.0
19,19,-0.06939085467994281,0.5000000000000001,-0.8632409335097514,0.16666666666666666,0.10344827586206896,0.0
20,20,-0.06939085467994283,-0.4999999999999998,-0.8632409335097515,0.3333333333333333,0.10344827586206896,0.0
21,21,-9.812562969000756e-18,-1.0,-1.2207092788456216e-16,0.5,0.10344827586206896,0.0
22,22,0.06939085467994281,-0.5000000000000004,0.8632409335097513,0.6666666666666666,0.10344827586206896,0.0
23,23,0.06939085467994285,0.49999999999999933,0.8632409335097518,0.8333333333333334,0.10344827586206896,0.0
24,24,0.0,1.0,0.0,0.0,0.13793103448275862,0.0
25,25,-0.07062341363634203,0.5000000000000001,-0.8631409696256749,0.16666666666666666,0.13793103448275862,0.0
26,26,-0.07062341363634203,-0.4999999999999998,-0.863140969625675,0.3333333333333333,0.13793103448275862,0.0
27,27,-9.986859170257506e-18,-1.0,-1.2205679198853303e-16,0.5,0.13793103448275862,0.0
28,28,0.07062341363634202,-0.5000000000000004,0.8631409696256748,0.6666666666666666,0.13793103448275862,0.0
29,29,0.07062341363634206,0.49999999999999933,0.8631409696256753,0.8333333333333334,0.13793103448275862,0.0
30,30,0.0,1.0,0.0,0.0,0.1724137931034483,0.0
31,31,-0.06868655589818003,0.5000000000000001,-0.8632972587926167,0.16666666666666666,0.1724137931034483,0.0
32,32,-0.06868655589818004,-0.4999999999999998,-0.8632972587926168,0.3333333333333333,0.1724137931034483,0.0
33,33,-9.712968055853861e-18,-1.0,-1.2207889284460497e-16,0.5,0.1724137931034483,0.0
34,34,0.06868655589818003,-0.5000000000000004,0.8632972587926165,0.6666666666666666,0.1724137931034483,0.0
35,35,0.06868655589818007,0.49999999999999933,0.8632972587926171,0.8333333333333334,0.1724137931034483,0.0
36,36,0.0,1.0,0.0,0.0,0.20689655172413793,0.0
37,37,-0.0642114184297446,0.5000000000000001,-0.8636416466007416,0.16666666666666666,0.20689655172413793,0.0
38,38,-0.0642114184297446,-0.4999999999999998,-0.8636416466007417,0.3333333333333333,0.20689655172413793,0.0
39,39,-9.080138723998834e-18,-1.0,-1.2212759273551377e-16,0.5,0.20689655172413793,0.0
40,40,0.06421141842974458,-0.5000000000000004,0.8636416466007415,0.6666666666666666,0.20689655172413793,0.0
41,41,0.06421141842974462,0.49999999999999933,0.863641646600742,0.8333333333333334,0.20689655172413793,0.0
42,42,0.0,1.0,0.0,0.0,0.2413793103448276,0.0
43,43,-0.057251501325850836,0.5000000000000001,-0.8641309308177413,0.16666666666666666,0.2413793103448276,0.0
44,44,-0.05725150132585084,-0.4999999999999998,-0.8641309308177414,0.3333333333333333,0.2413793103448276,0.0
45,45,-8.095936624803143e-18,-1.0,-1.221967824322136e-16,0.5,0.2413793103448276,0.0
46,46,0.05725150132585082,-0.5000000000000004,0.8641309308177412,0.6666666666666666,0.2413793103448276,0.0
47,47,0.05725150132585086,0.49999999999999933,0.8641309308177417,0.8333333333333334,0.2413793103448276,0.0
48,48,0.0,1.0,0.0,0.0,0.27586206896551724,0.0
49,49,-0.047444131305114344,0.5000000000000001,-0.8647248431753901,0.16666666666666666,0.27586206896551724,0.0
50,50,-0.04744413130511435,-0.4999999999999998,-0.8647248431753902,0.3333333333333333,0.27586206896551724,0.0
51,51,-6.70907611800233e-18,-1.0,-1.2228076759761296e-16,0.5,0.27586206896551724,0.0
52,52,0.04744413130511434,-0.5000000000000004,0.86472484317539,0.6666666666666666,0.27586206896551724,0.0
53,53,0.047444131305114365,0.49999999999999933,0.8647248431753906,0.8333333333333334,0.27586206896551724,0.0
54,54,0.0,1.0,0.0,0.0,0.3103448275862069,0.0
55,55,-0.033933616162944054,0.5000000000000001,-0.8653603351749525,0.16666666666666666,0.3103448275862069,0.0
56,56,-0.033933616162944054,-0.4999999999999998,-0.8653603351749526,0.3333333333333333,0.3103448275862069,0.0
57,57,-4.7985537417085e-18,-1.0,-1.2237063254149876e-16,0.5,0.3103448275862069,0.0
58,58,0.03393361616294405,-0.5000000000000004,0.8653603351749524,0.6666666666666666,0.3103448275862069,0.0
59,59,0.03393361616294407,0.49999999999999933,0.8653603351749529,0.8333333333333334,0.3103448275862069,0.0
60,60,0.0,1.0,0.0,0.0,0.3448275862068966,0.0
61,61,-0.01502995906620583,0.5000000000000001,-0.8658949707270901,0.16666666666666666,0.3448275862068966,0.0
62,62,-0.015029959066205831,-0.4999999999999998,-0.8658949707270902,0.3333333333333333,0.3448275862068966,0.0
63,63,-2.125386989955577e-18,-1.0,-1.2244623537194398e-16,0.5,0.3448275862068966,0.0
64,64,0.015029959066205828,-0.5000000000000004,0.86589497072709,0.6666666666666666,0.3448275862068966,0.0
65,65,0.015029959066205837,0.49999999999999933,0.8658949707270905,0.8333333333333334,0.3448275862068966,0.0
66,66,0.0,1.0,0.0,0.0,0.3793103448275862,0.0
67,67,0.012753679861280585,0.5000000000000001,-0.8659314890047572,0.16666666666666666,0.3793103448275862,0.0
68,68,0.012753679861280587,-0.4999999999999998,-0.8659314890047574,0.3333333333333333,0.3793103448275862,0.0
69,69,1.8034982751331594e-18,-1.0,-1.2245139942275127e-16,0.5,0.3793103448275862,0.0
70,70,-0.012753679861280584,-0.5000000000000004,0.8659314890047571,0.6666666666666666,0.3793103448275862,0.0
71,71,-0.012753679861280592,0.49999999999999933,0.8659314890047577,0.8333333333333334,0.3793103448275862,0.0
