index,P(0),P(1),P(2)
0,-1.0,1.9973590370422871,-0.7500139497598797
1,-0.7834936490538904,1.9986795185211435,-0.8750069748799398
2,-0.7834936490538903,2.0013204814788565,-1.1249930251200602
3,-1.0,2.002640962957713,-1.2499860502401203
4,-1.2165063509461096,2.0013204814788565,-1.1249930251200604
5,-1.2165063509461098,1.9986795185211435,-0.87500697487994
6,-1.0,1.944904908181998,-0.7505716147416747
7,-0.7834936490538904,1.9468883004126283,-0.8755558783721792
8,-0.7834936490538903,1.9508550848738888,-1.1255244056331883
9,-1.0,1.952838477104519,-1.250508669263693
10,-1.2165063509461096,1.9508550848738888,-1.1255244056331886
11,-1.2165063509461098,1.9468883004126283,-0.8755558783721794
12,-1.0,1.8919024824629342,-0.7516910263394083
13,-0.7834936490538904,1.8948269678271852,-0.8766568111981219
14,-0.7834936490538903,1.900675938555687,-1.126588380915549
15,-1.0,1.903600423919938,-1.2515541657742626
16,-1.2165063509461096,1.900675938555687,-1.126588380915549
17,-1.2165063509461098,1.8948269678271852,-0.8766568111981221
18,-1.0,1.8399613506280323,-0.7530218105310104
19,-0.7834936490538904,1.843298912691888,-0.8779772453046524
20,-0.7834936490538903,1.8499740368195987,-1.1278881148519364
21,-1.0,1.8533115988834543,-1.2528435496255785
22,-1.2165063509461096,1.8499740368195987,-1.1278881148519366
23,-1.2165063509461098,1.843298912691888,-0.8779772453046526
24,-1.0,1.7884581900456946,-0.7544529652552769
25,-0.7834936490538903,1.7919913090936506,-0.8794030235577562
26,-0.7834936490538903,1.799057547189562,-1.1293031401627147
27,-1.0,1.802590666237518,-1.2542531984651941
28,-1.2165063509461096,1.799057547189562,-1.129303140162715
29,-1.2165063509461098,1.7919913090936506,-0.8794030235577563
30,-1.0,1.7371967550184328,-0.7559273471323792
31,-0.7834936490538904,1.7408052685971425,-0.8808752507952748
32,-0.7834936490538903,1.7480222957545617,-1.1307710581210664
33,-1.0,1.7516308093332713,-1.2557189617839621
34,-1.2165063509461096,1.7480222957545617,-1.1307710581210664
35,-1.2165063509461098,1.7408052685971425,-0.8808752507952751
36,-1.0,1.6860928553586423,-0.7574092455180897
37,-0.7834936490538904,1.6896981688937092,-0.8823572415576976
38,-0.7834936490538903,1.6969087959638434,-1.1322532336369133
39,-1.0,1.7005141094989102,-1.2572012296765211
40,-1.2165063509461096,1.6969087959638434,-1.1322532336369135
41,-1.2165063509461098,1.6896981688937092,-0.8823572415576978
42,-1.0,1.6351048039464302,-0.7588731906792487
43,-0.7834936490538903,1.63864878253203,-0.8838229414424448
44,-0.7834936490538903,1.645736739703229,-1.1337224429688368
45,-1.0,1.6492807182888287,-1.2586721937320329
46,-1.2165063509461096,1.645736739703229,-1.133722442968837
47,-1.2165063509461098,1.63864878253203,-0.8838229414424449
48,-1.0,1.5842107776443264,-0.7602990151432539
49,-0.7834936490538904,1.5876459051143754,-0.8852518058254332
50,-0.7834936490538903,1.5945161600544735,-1.1351573871897918
51,-1.0,1.5979512875245225,-1.260110177871971
52,-1.2165063509461096,1.5945161600544735,-1.135157387189792
53,-1.2165063509461098,1.5876459051143754,-0.8852518058254334
54,-1.0,1.5333998055914824,-0.7616692917154697
55,-0.7834936490538904,1.5366838201422834,-0.8866261452627247
56,-0.7834936490538903,1.5432518492438856,-1.1365398523572345
57,-1.0,1.5465358637946867,-1.2614967059044895
58,-1.2165063509461096,1.5432518492438856,-1.1365398523572348
59,-1.2165063509461098,1.5366838201422834,-0.8866261452627248
60,-1.0,1.4826677609289676,-0.7629677970337531
61,-0.7834936490538904,1.4857602783153094,-0.887929536523147
62,-0.7834936490538903,1.4919453130879932,-1.137853015501935
63,-1.0,1.495037830474335,-1.2628147549913291
64,-1.2165063509461096,1.4919453130879932,-1.137853015501935
65,-1.2165063509461098,1.4857602783153094,-0.8879295365231472
66,-1.0,1.4320155778337744,-0.7641784587540462
67,-0.7834936490538904,1.434875597602216,-0.8891457356185283
68,-0.7834936490538903,1.4405956371390993,-1.1390802893474925
69,-1.0,1.443455656907541,-1.2640475662119746
70,-1.2165063509461096,1.4405956371390993,-1.1390802893474927
71,-1.2165063509461098,1.434875597602216,-0.8891457356185285
72,-1.0,1.3814485962616103,-0.7652844922674769
73,-0.7834936490538904,1.3840323328707478,-0.8902577866352521
74,-0.7834936490538903,1.3891998060890227,-1.1402043753708027
75,-1.0,1.3917835426981602,-1.265177669738578
76,-1.2165063509461096,1.3891998060890227,-1.1402043753708027
77,-1.2165063509461098,1.3840323328707478,-0.8902577866352523
78,-1.0,1.3309766207268376,-0.7662676041327517
79,-0.7834936490538904,1.3332353082590713,-0.8912471957892767
80,-0.7834936490538903,1.3377526833235387,-1.1412063791023266
81,-1.0,1.3400113708557724,-1.2661859707588516
82,-1.2165063509461096,1.3377526833235387,-1.1412063791023268
83,-1.2165063509461098,1.3332353082590713,-0.8912471957892769
84,-1.0,1.2806148125670902,-0.7671071245640105
85,-0.7834936490538904,1.282492072740656,-0.8920930273460472
86,-0.7834936490538903,1.2862465930877869,-1.1420648329101208
87,-1.0,1.2881238532613526,-1.2670507356921576
88,-1.2165063509461096,1.2862465930877869,-1.1420648329101208
89,-1.2165063509461098,1.282492072740656,-0.8920930273460475
90,-1.0,1.230385272753812,-0.7677789112312361
91,-0.7834936490538904,1.2318137098404958,-0.8927707492347209
92,-0.7834936490538903,1.2346705840138636,-1.1427544252416904
93,-1.0,1.2360990211005474,-1.2677462632451753
94,-1.2165063509461096,1.2346705840138636,-1.1427544252416906
95,-1.2165063509461098,1.2318137098404958,-0.892770749234721
96,-1.0,1.1803200102257168,-0.7682539713198785
