index,type,vertices
245,quad,245 246 262 261
246,quad,246 247 263 262
247,quad,247 248 264 263
248,quad,248 249 265 264
249,quad,249 250 266 265
250,quad,250 251 267 266
251,quad,251 252 268 267
252,quad,252 253 269 268
253,quad,253 254 270 269
254,quad,254 255 271 270
255,quad,255 240 256 271
256,quad,256 257 273 272
257,quad,257 258 274 273
258,quad,258 259 275 274
259,quad,259 260 276 275
260,quad,260 261 277 276
261,quad,261 262 278 277
262,quad,262 263 279 278
263,quad,263 264 280 279
264,quad,264 265 281 280
265,quad,265 266 282 281
266,quad,266 267 283 282
267,quad,267 268 284 283
268,quad,268 269 285 284
269,quad,269 270 286 285
270,quad,270 271 287 286
271,quad,271 256 272 287
272,quad,272 273 289 288
273,quad,273 274 290 289
274,quad,274 275 291 290
275,quad,275 276 292 291
276,quad,276 277 293 292
277,quad,277 278 294 293
278,quad,278 279 295 294
279,quad,279 280 296 295
280,quad,280 281 297 296
281,quad,281 282 298 297
282,quad,282 283 299 298
283,quad,283 284 300 299
284,quad,284 285 301 300
285,quad,285 286 302 301
286,quad,286 287 303 302
287,quad,287 272 288 303
288,quad,288 289 305 304
289,quad,289 290 306 305
290,quad,290 291 307 306
291,quad,291 292 308 307
292,quad,292 293 309 308
293,quad,293 294 310 309
294,quad,294 295 311 310
295,quad,295 296 312 311
296,quad,296 297 313 312
297,quad,297 298 314 313
298,quad,298 299 315 314
299,quad,299 300 316 315
300,quad,300 301 317 316
301,quad,301 302 318 317
302,quad,302 303 319 318
303,quad,303 288 304 319
304,quad,304 305 321 320
305,quad,305 306 322 321
306,quad,306 307 323 322
307,quad,307 308 324 323
308,quad,308 309 325 324
309,quad,309 310 326 325
310,quad,310 311 327 326
311,quad,311 312 328 327
312,quad,312 313 329 328
313,quad,313 314 330 329
314,quad,314 315 331 330
315,quad,315 316 332 331
316,quad,316 317 333 332
317,quad,317 318 334 333
318,quad,318 319 335 334
319,quad,319 304 320 335
320,quad,320 321 337 336
321,quad,321 322 338 337
322,quad,322 323 339 338
323,quad,323 324 340 339
324,quad,324 325 341 340
325,quad,325 326 342 341
326,quad,326 327 343 342
327,quad,327 328 344 343
328,quad,328 329 345 344
329,quad,329 330 346 345
330,quad,330 331 347 346
331,quad,331 332 348 347
332,quad,332 333 349 348
333,quad,333 334 350 349
334,quad,334 335 351 350
335,quad,335 320 336 351
336,quad,336 337 353 352
337,quad,337 338 354 353
338,quad,338 339 355 354
339,quad,339 340 356 355
340,quad,340 341 357 356
341,quad,341 342 358 357
342,quad,342 343 359 358
343,quad,343 344 360 359
344,quad,344 345 361 360
345,quad,345 346 362 361
346,quad,346 347 363 362
347,quad,347 348 364 363
348,quad,348 349 365 364
349,quad,349 350 366 365
350,quad,350 351 367 366
351,quad,351 336 352 367
352,quad,352 353 369 368
353,quad,353 354 370 369
354,quad,354 355 371 370
355,quad,355 356 372 371
356,quad,356 357 373 372
357,quad,357 358 374 373
358,quad,358 359 375 374
359,quad,359 360 376 375
360,quad,360 361 377 376
361,quad,361 362 378 377
362,quad,362 363 379 378
363,quad,363 364 380 379
364,quad,364 365 381 380
365,quad,365 366 382 381
366,quad,366 367 383 382
367,quad,367 352 368 383
368,quad,368 369 385 384
369,quad,369 370 386 385
370,quad,370 371 387 386
371,quad,371 372 388 387
372,quad,372 373 389 388
373,quad,373 374 390 389
