index	prim:vindex	pindex	N(0)	N(1)	N(2)	Tex(0)	Tex(1)	Tex(2)
79	19:3	25	-2.1855692e-8	0.49999997	-0.8660253	0.16666667	0.44444445	0
80	20:0	20	2.1855692e-8	-0.49999997	-0.8660253	0.33333334	0.33333334	0
81	20:1	21	4.371139e-8	-1	0	0.5	0.33333334	0
82	20:2	27	4.371139e-8	-1	0	0.5	0.44444445	0
83	20:3	26	2.1855692e-8	-0.49999997	-0.8660253	0.33333334	0.44444445	0
84	21:0	21	4.371139e-8	-1	0	0.5	0.33333334	0
85	21:1	22	2.18557e-8	-0.5000001	0.86602527	0.6666667	0.33333334	0
86	21:2	28	2.18557e-8	-0.5000001	0.86602527	0.6666667	0.44444445	0
87	21:3	27	4.371139e-8	-1	0	0.5	0.44444445	0
88	22:0	22	2.18557e-8	-0.5000001	0.86602527	0.6666667	0.33333334	0
89	22:1	23	-2.1855692e-8	0.49999997	0.8660253	0.8333334	0.33333334	0
90	22:2	29	-2.1855692e-8	0.49999997	0.8660253	0.8333334	0.44444445	0
91	22:3	28	2.18557e-8	-0.5000001	0.86602527	0.6666667	0.44444445	0
92	23:0	23	-2.1855692e-8	0.49999997	0.8660253	0.8333334	0.33333334	0
93	23:1	18	-4.371139e-8	1	0	1	0.33333334	0
94	23:2	24	-4.371139e-8	1	0	1	0.44444445	0
95	23:3	29	-2.1855692e-8	0.49999997	0.8660253	0.8333334	0.44444445	0
96	24:0	24	-4.371139e-8	1	0	0	0.44444445	0
97	24:1	25	-2.1855692e-8	0.49999997	-0.8660253	0.16666667	0.44444445	0
98	24:2	31	-2.1855692e-8	0.49999997	-0.8660253	0.16666667	0.5555556	0
99	24:3	30	-4.371139e-8	1	0	0	0.5555556	0
100	25:0	25	-2.1855692e-8	0.49999997	-0.8660253	0.16666667	0.44444445	0
101	25:1	26	2.1855692e-8	-0.49999997	-0.8660253	0.33333334	0.44444445	0
102	25:2	32	2.1855692e-8	-0.49999997	-0.8660253	0.33333334	0.5555556	0
103	25:3	31	-2.1855692e-8	0.49999997	-0.8660253	0.16666667	0.5555556	0
104	26:0	26	2.1855692e-8	-0.49999997	-0.8660253	0.33333334	0.44444445	0
105	26:1	27	4.371139e-8	-1	0	0.5	0.44444445	0
106	26:2	33	4.371139e-8	-1	0	0.5	0.5555556	0
107	26:3	32	2.1855692e-8	-0.49999997	-0.8660253	0.33333334	0.5555556	0
108	27:0	27	4.371139e-8	-1	0	0.5	0.44444445	0
109	27:1	28	2.18557e-8	-0.5000001	0.86602527	0.6666667	0.44444445	0
110	27:2	34	2.18557e-8	-0.5000001	0.86602527	0.6666667	0.5555556	0
111	27:3	33	4.371139e-8	-1	0	0.5	0.5555556	0
112	28:0	28	2.18557e-8	-0.5000001	0.86602527	0.6666667	0.44444445	0
113	28:1	29	-2.1855692e-8	0.49999997	0.8660253	0.8333334	0.44444445	0
114	28:2	35	-2.1855692e-8	0.49999997	0.8660253	0.8333334	0.5555556	0
115	28:3	34	2.18557e-8	-0.5000001	0.86602527	0.6666667	0.5555556	0
116	29:0	29	-2.1855692e-8	0.49999997	0.8660253	0.8333334	0.44444445	0
117	29:1	24	-4.371139e-8	1	0	1	0.44444445	0
118	29:2	30	-4.371139e-8	1	0	1	0.5555556	0
119	29:3	35	-2.1855692e-8	0.49999997	0.8660253	0.8333334	0.5555556	0
120	30:0	30	-4.371139e-8	1	0	0	0.5555556	0
121	30:1	31	-2.1855692e-8	0.49999997	-0.8660253	0.16666667	0.5555556	0
122	30:2	37	-2.1855692e-8	0.49999997	-0.8660253	0.16666667	0.6666667	0
