index,P(0),P(1),P(2)
0,-1.0,-0.75,0.0
1,-1.0,-0.875,-0.21650635094610965
2,-1.0,-1.125,-0.21650635094610968
3,-1.0,-1.25,-3.061616997868383e-17
4,-1.0,-1.125,0.21650635094610962
5,-1.0,-0.8750000000000002,0.21650635094610976
6,-0.7777777777777778,-0.75,0.0
7,-0.7777777777777778,-0.875,-0.21650635094610965
8,-0.7777777777777778,-1.125,-0.21650635094610968
9,-0.7777777777777778,-1.25,-3.061616997868383e-17
10,-0.7777777777777778,-1.125,0.21650635094610962
11,-0.7777777777777778,-0.8750000000000002,0.21650635094610976
12,-0.5555555555555556,-0.75,0.0
13,-0.5555555555555556,-0.875,-0.21650635094610965
14,-0.5555555555555556,-1.125,-0.21650635094610968
15,-0.5555555555555556,-1.25,-3.061616997868383e-17
16,-0.5555555555555556,-1.125,0.21650635094610962
17,-0.5555555555555556,-0.8750000000000002,0.21650635094610976
18,-0.3333333333333328,-0.75,0.0
19,-0.3333333333333328,-0.875,-0.21650635094610965
20,-0.3333333333333328,-1.125,-0.21650635094610968
21,-0.3333333333333328,-1.25,-3.061616997868383e-17
22,-0.3333333333333328,-1.125,0.21650635094610962
23,-0.3333333333333328,-0.8750000000000002,0.21650635094610976
24,-0.11111111111110962,-0.75,0.0
25,-0.11111111111110962,-0.875,-0.21650635094610965
26,-0.11111111111110962,-1.125,-0.21650635094610968
27,-0.11111111111110962,-1.25,-3.061616997868383e-17
28,-0.11111111111110962,-1.125,0.21650635094610962
29,-0.11111111111110962,-0.8750000000000002,0.21650635094610976
30,0.1111111111111116,-0.75,0.0
31,0.1111111111111116,-0.875,-0.21650635094610965
32,0.1111111111111116,-1.125,-0.21650635094610968
33,0.1111111111111116,-1.25,-3.061616997868383e-17
34,0.1111111111111116,-1.125,0.21650635094610962
35,0.1111111111111116,-0.8750000000000002,0.21650635094610976
36,0.33333333333333537,-0.75,0.0
37,0.33333333333333537,-0.875,-0.21650635094610965
38,0.33333333333333537,-1.125,-0.21650635094610968
39,0.33333333333333537,-1.25,-3.061616997868383e-17
40,0.33333333333333537,-1.125,0.21650635094610962
41,0.33333333333333537,-0.8750000000000002,0.21650635094610976
42,0.5555555555555574,-0.75,0.0
43,0.5555555555555574,-0.875,-0.21650635094610965
44,0.5555555555555574,-1.125,-0.21650635094610968
45,0.5555555555555574,-1.25,-3.061616997868383e-17
46,0.5555555555555574,-1.125,0.21650635094610962
47,0.5555555555555574,-0.8750000000000002,0.21650635094610976
48,0.7777777777777792,-0.75,0.0
49,0.7777777777777792,-0.875,-0.21650635094610965
50,0.7777777777777792,-1.125,-0.21650635094610968
51,0.7777777777777792,-1.25,-3.061616997868383e-17
52,0.7777777777777792,-1.125,0.21650635094610962
53,0.7777777777777792,-0.8750000000000002,0.21650635094610976
54,1.0,-0.75,0.0
55,1.0,-0.875,-0.21650635094610965
56,1.0,-1.125,-0.21650635094610968
57,1.0,-1.25,-3.061616997868383e-17
58,1.0,-1.125,0.21650635094610962
59,1.0,-0.8750000000000002,0.21650635094610976
